Date,MMWR_week,Location,Administered_Daily,Administered_Cumulative,Administered_7_Day_Rolling_Average,Date,7_Day_Rolling_Average,
3/12/2022,10,NE,0,3095197,274,12/8/2021,7356895,
3/12/2022,10,IA,1596,4947585,1555,12/7/2021,7136790,
3/12/2022,10,MI,5320,15373963,10175,12/6/2021,7140662,
3/12/2022,10,LA,0,6105117,1736,12/5/2021,8058755,
3/12/2022,10,PW,0,46792,13,12/4/2021,7511699,
3/12/2022,10,MA,0,14354045,3086,12/3/2021,6727789,
3/12/2022,10,IA,0,4947602,812,12/2/2021,5839379,
3/12/2022,10,AS,0,96143,512,12/1/2021,4614938,
3/12/2022,10,CA,3,72105757,23641,11/30/2021,4471684,
3/12/2022,10,MS,1787,3782403,1553,11/29/2021,4008224,
3/12/2022,10,IL,0,21908184,5458,11/28/2021,3028642,
3/12/2022,10,KY,2884,6356572,4402,11/27/2021,3470740,
3/12/2022,10,WA,6900,13942672,6690,11/26/2021,4079858,
3/12/2022,10,AK,535,1107118,1250,11/25/2021,4868313,
3/12/2022,10,PW,0,46792,11,11/24/2021,5782190,
3/12/2022,10,MD,753,11595204,3618,11/23/2021,5795047,
3/12/2022,10,GU,1752,337584,541,11/22/2021,6142517,
3/12/2022,10,VT,0,1354300,196,11/21/2021,6137857,
3/12/2022,10,AR,1785,4110613,2354,11/20/2021,6128145,
3/12/2022,10,VI,75,140852,64,11/19/2021,6079946,
3/12/2022,10,RI,1059,2143425,972,11/18/2021,5899464,
3/12/2022,10,MH,0,57853,24,11/17/2021,5860538,
3/12/2022,10,IL,26932,21893284,8399,11/16/2021,5839169,
3/12/2022,10,VA,0,15971685,3361,11/15/2021,5733483,
3/12/2022,10,GA,13234,14461936,7592,11/14/2021,5634222,
3/12/2022,10,WV,970,2647518,828,11/13/2021,5615088,
3/12/2022,10,NV,8687,4758415,4932,11/12/2021,5503269,
3/12/2022,10,AR,0,4112376,958,11/11/2021,5449671,
3/12/2022,10,NE,48,3095161,963,11/10/2021,5444282,
3/12/2022,10,ME,1098,2716556,1007,11/9/2021,5385648,
3/12/2022,10,UT,47,5080079,1393,11/8/2021,5316592,
3/12/2022,10,NM,0,3795801,1197,11/7/2021,5243789,
3/12/2022,10,MI,2,15380226,3269,11/6/2021,5190230,
3/12/2022,10,NY,16081,38083998,15475,11/5/2021,5188328,
3/12/2022,10,HI,0,2822725,497,11/4/2021,5146784,
3/12/2022,10,MT,0,1542353,230,11/3/2021,5191780,
3/12/2022,10,AL,0,6130617,1406,11/2/2021,5154997,
3/12/2022,10,PA,0,22214070,3828,11/1/2021,5106855,
3/12/2022,10,OH,0,17318408,3833,10/31/2021,5047738,
3/12/2022,10,VI,0,140852,33,10/30/2021,4879939,
3/12/2022,10,MP,0,106791,50,10/29/2021,4669153,
3/12/2022,10,AZ,7039,11631443,6383,10/28/2021,4476991,
3/12/2022,10,KS,0,4475386,906,10/27/2021,4030182,
3/12/2022,10,CT,7393,7339110,3899,10/26/2021,3695580,
3/12/2022,10,OR,3546,7486679,2831,10/25/2021,3463054,
3/12/2022,10,NJ,11247,16676406,7868,10/24/2021,3230235,
3/12/2022,10,DC,0,1432816,433,10/23/2021,3180599,
3/12/2022,10,FL,12443,36313190,14300,10/22/2021,3079394,
3/12/2022,10,ND,171,1065645,103,10/21/2021,3033318,
3/12/2022,10,VA,6188,15964421,6128,10/20/2021,3109714,
3/12/2022,10,MS,0,3782434,768,10/19/2021,3142567,
3/12/2022,10,AK,0,1107149,216,10/18/2021,3137118,
3/12/2022,10,US,379981,556777608,272767,10/17/2021,3132211,
3/12/2022,10,CO,5372,10378773,4458,10/16/2021,3131758,
3/12/2022,10,MA,5473,14353962,5973,10/15/2021,3224487,
3/12/2022,10,CT,0,7342903,2218,10/14/2021,3251397,
3/12/2022,10,FM,0,110131,160,10/13/2021,3236763,
3/12/2022,10,FL,0,36326088,7332,10/12/2021,3319082,
3/12/2022,10,NY,3335,38097367,10116,10/11/2021,3428962,
3/12/2022,10,AL,2699,6129692,2130,10/10/2021,3607125,
3/12/2022,10,KS,1506,4473659,2339,10/9/2021,3757936,
3/12/2022,10,PA,12704,22213929,7710,10/8/2021,3722628,
3/12/2022,10,WA,0,13942764,3016,10/7/2021,3690116,
3/12/2022,10,OH,7276,17311637,6235,10/6/2021,3740437,
3/12/2022,10,NH,0,2540616,414,10/5/2021,3735574,
3/12/2022,10,WY,289,734239,225,10/4/2021,3678894,
3/12/2022,10,MO,0,8703014,1503,10/3/2021,3567505,
3/12/2022,10,GU,0,337594,51,10/2/2021,3434818,
3/12/2022,10,US,11998,556980091,135842,10/1/2021,3408979,
3/12/2022,10,MP,0,106791,17,9/30/2021,3289874,
3/12/2022,10,SC,0,7335846,1586,9/29/2021,2986054,
3/12/2022,10,WY,0,734281,129,9/28/2021,2817301,
3/12/2022,10,MH,0,57853,277,9/27/2021,2705180,
3/12/2022,10,NV,0,4760150,1237,9/26/2021,2638366,
3/12/2022,10,OK,250,5746496,1759,9/25/2021,2589877,
3/12/2022,10,NJ,1652,16682452,4745,9/24/2021,2579695,
3/12/2022,10,IN,0,9258127,2604,9/23/2021,2617635,
3/12/2022,10,GA,0,14462065,2229,9/22/2021,2760651,
3/12/2022,10,TX,5051,44777465,13052,9/21/2021,2824934,
3/12/2022,10,NH,73697,2540271,2120,9/20/2021,2868377,
3/12/2022,10,WV,0,2647544,382,9/19/2021,2877057,
3/12/2022,10,ND,0,1065681,76,9/18/2021,2916727,
3/12/2022,10,OR,0,7486705,1526,9/17/2021,2933932,
3/12/2022,10,AZ,0,11638764,3329,9/16/2021,2967754,
3/12/2022,10,KY,0,6360118,1635,9/15/2021,2970554,
3/11/2022,10,KY,1822,6360118,1821,9/14/2021,3027041,
3/11/2022,10,AZ,2736,11638764,3834,9/13/2021,3038883,
3/11/2022,10,NV,4351,4749728,3950,9/12/2021,2814136,
3/11/2022,10,WV,1039,2646548,881,9/11/2021,2770467,
3/11/2022,10,ID,730,2380686,709,9/10/2021,2778972,
3/11/2022,10,CA,42512,72022144,42518,9/9/2021,2911511,
3/11/2022,10,WI,2991,9927645,2876,9/8/2021,2974564,
3/11/2022,10,RI,452,2144329,637,9/7/2021,3032802,
3/11/2022,10,LA,9404,6099188,4588,9/6/2021,3081213,
3/11/2022,10,WI,4458,9914338,3878,9/5/2021,3376860,
3/11/2022,10,SD,172,1363459,346,9/4/2021,3494988,
3/11/2022,10,DC,1006,1430552,924,9/3/2021,3568405,
3/11/2022,10,IN,4329,9247702,3879,9/2/2021,3511670,
3/11/2022,10,MN,2941,9962403,2836,9/1/2021,3564327,
3/11/2022,10,CO,2599,10378889,2630,8/31/2021,3533447,
3/11/2022,10,MO,3863,8699496,3825,8/30/2021,3538383,
3/11/2022,10,NM,2491,3791804,2023,8/29/2021,3512906,
3/11/2022,10,MT,588,1541812,547,8/28/2021,3509102,
3/11/2022,10,TN,17,9653556,1970,8/27/2021,3489716,
3/11/2022,10,DE,15,1744145,416,8/26/2021,3455144,
3/11/2022,10,OK,1023,5753235,1654,8/25/2021,3470870,
3/11/2022,10,SD,717,1362541,602,8/24/2021,3403898,
3/11/2022,10,PR,18514,7012591,5863,8/23/2021,3383709,
3/11/2022,10,DE,760,1743325,805,8/22/2021,3441142,
3/11/2022,10,PR,4,7012597,884,8/21/2021,3355720,
3/11/2022,10,UT,29,5080108,20,8/20/2021,3327275,
3/11/2022,10,NC,7454,16209282,7959,8/19/2021,3255379,
3/11/2022,10,ID,852,2378226,1041,8/18/2021,3109446,
3/11/2022,10,GA,7103,14448702,8334,8/17/2021,3042847,
3/11/2022,10,VA,2802,15971685,4041,8/16/2021,3011805,
3/11/2022,10,IL,-40332,21866352,8033,8/15/2021,2893513,
3/11/2022,10,MH,0,57853,28,8/14/2021,2910711,
3/11/2022,10,RI,986,2142366,976,8/13/2021,2848592,
3/11/2022,10,VI,48,140777,68,8/12/2021,2809799,
3/11/2022,10,MI,5043,15368643,11375,8/11/2021,2867004,
3/11/2022,10,LA,1875,6105117,1916,8/10/2021,2888985,
3/11/2022,10,MN,4242,9953812,4008,8/9/2021,2832165,
3/11/2022,10,TN,4446,9648899,4293,8/8/2021,2796372,
3/11/2022,10,IA,1740,4945989,1626,8/7/2021,2802065,
3/11/2022,10,NE,25,3095197,355,8/6/2021,2753024,
3/11/2022,10,NC,4669,16228831,4544,8/5/2021,2742323,
3/11/2022,10,HI,20,2819440,1109,8/4/2021,2676451,
3/11/2022,10,AS,0,93864,708,8/3/2021,2669567,
3/11/2022,10,SC,2963,7331455,5676,8/2/2021,2635685,
3/11/2022,10,ME,72,2716631,606,8/1/2021,2592933,
3/11/2022,10,TX,32993,44726431,27481,7/31/2021,2562773,
3/11/2022,10,MD,5636,11585506,5415,7/30/2021,2538318,
3/11/2022,10,FM,309,110131,470,7/29/2021,2439951,
3/11/2022,10,VT,677,1353093,672,7/28/2021,2407009,
